Result for strategy BBMod
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|---------------------------------------------------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|                                                    vwap |    711 |           0.88 |         629.00 |        295366.636 |       29536.66 |        1:48:00 |   522     0   189  73.4 |
|                                                  clucHA |    175 |           1.80 |         314.35 |        181242.707 |       18124.27 |        1:28:00 |   140     0    35  80.0 |
|                                                 nfix_39 |    177 |           0.72 |         126.92 |        114065.520 |       11406.55 |        1:39:00 |   128     0    49  72.3 |
|                                                     ewo |     52 |           2.84 |         147.52 |         93855.180 |        9385.52 |        0:51:00 |    47     0     5  90.4 |
|                            local_uptrend local_uptrend2 |     27 |           4.00 |         107.87 |         78824.778 |        7882.48 |        0:40:00 |    25     0     2  92.6 |
|                                             clucHA vwap |     35 |           2.75 |          96.35 |         76178.463 |        7617.85 |        1:35:00 |    31     0     4  88.6 |
|                                          clucHA nfix_39 |     30 |           1.77 |          53.24 |         33937.622 |        3393.76 |        1:17:00 |    27     0     3  90.0 |
|                                      local_uptrend vwap |     18 |           2.38 |          42.87 |         33846.187 |        3384.62 |        1:07:00 |    16     0     2  88.9 |
|                                                    cofi |     22 |           4.09 |          89.95 |         30425.273 |        3042.53 |        1:06:00 |    20     0     2  90.9 |
|                                                 nfi7_37 |     23 |           0.88 |          20.18 |         25672.594 |        2567.26 |        1:20:00 |    16     0     7  69.6 |
|                               local_uptrend clucHA vwap |      5 |           4.23 |          21.14 |         24191.906 |        2419.19 |        0:55:00 |     4     0     1  80.0 |
|                local_uptrend clucHA vwap local_uptrend2 |     14 |           6.17 |          86.44 |         23370.865 |        2337.09 |        0:43:00 |    13     0     1  92.9 |
|                     local_uptrend clucHA local_uptrend2 |      7 |           0.94 |           6.55 |         22584.698 |        2258.47 |        0:46:00 |     6     0     1  85.7 |
|                                    local_uptrend clucHA |      8 |           2.95 |          23.62 |         19636.789 |        1963.68 |        0:49:00 |     8     0     0   100 |
|                                                 nfi7_33 |     26 |           0.85 |          21.99 |         19608.327 |        1960.83 |        1:55:00 |    18     0     8  69.2 |
|                                      clucHA nfi_32 vwap |      6 |           2.33 |          13.98 |         19130.711 |        1913.07 |        1:55:00 |     5     0     1  83.3 |
|                                           local_uptrend |     47 |           2.22 |         104.47 |         17589.012 |        1758.90 |        0:41:00 |    44     0     3  93.6 |
|                                     clucHA nfix_39 vwap |     11 |           2.80 |          30.75 |         17446.685 |        1744.67 |        1:02:00 |    10     0     1  90.9 |
|                                          local_dip vwap |      1 |           5.72 |           5.72 |          8814.389 |         881.44 |        0:20:00 |     1     0     0   100 |
|                           local_uptrend ewo clucHA vwap |      1 |           2.41 |           2.41 |          8266.425 |         826.64 |        0:45:00 |     1     0     0   100 |
|            local_uptrend ewo clucHA vwap local_uptrend2 |      4 |           6.07 |          24.26 |          7317.288 |         731.73 |        0:09:00 |     4     0     0   100 |
|                                          nfix_5 nfi7_33 |      2 |           2.40 |           4.80 |          6690.547 |         669.05 |        2:38:00 |     2     0     0   100 |
|                local_uptrend nfi_32 vwap local_uptrend2 |      7 |           0.83 |           5.82 |          6560.595 |         656.06 |        1:31:00 |     5     0     2  71.4 |
|                                            nfix_39 vwap |     13 |           1.99 |          25.89 |          4374.296 |         437.43 |        1:30:00 |    10     0     3  76.9 |
|                                              ewo clucHA |      5 |          -0.99 |          -4.93 |          4084.183 |         408.42 |        0:34:00 |     4     0     1  80.0 |
|                                            nfi7_33 vwap |      4 |           2.53 |          10.10 |          4082.337 |         408.23 |        0:35:00 |     4     0     0   100 |
|                                                  nfix_5 |      2 |           5.70 |          11.40 |          3786.651 |         378.67 |        0:38:00 |     2     0     0   100 |
|                                local_uptrend ewo clucHA |      3 |           2.86 |           8.58 |          3683.535 |         368.35 |        1:33:00 |     3     0     0   100 |
|                                         nfix_39 nfi7_33 |      1 |           2.47 |           2.47 |          3257.023 |         325.70 |        0:40:00 |     1     0     0   100 |
|         local_uptrend clucHA nfi_32 vwap local_uptrend2 |      2 |           5.29 |          10.58 |          3238.265 |         323.83 |        0:20:00 |     2     0     0   100 |
|                            local_uptrend clucHA nfix_39 |      3 |           7.33 |          21.99 |          3032.406 |         303.24 |        1:07:00 |     3     0     0   100 |
|                                            nfi7_37 vwap |      1 |           1.78 |           1.78 |          2341.616 |         234.16 |        0:10:00 |     1     0     0   100 |
|                                          nfi_33 nfi7_33 |      3 |           2.47 |           7.41 |          1888.649 |         188.86 |        2:47:00 |     3     0     0   100 |
|                    local_uptrend nfix_39 local_uptrend2 |      3 |           0.46 |           1.37 |          1372.908 |         137.29 |        1:40:00 |     2     0     1  66.7 |
|                                           clucHA nfi_32 |      2 |           4.89 |           9.78 |          1324.298 |         132.43 |        0:28:00 |     2     0     0   100 |
|             local_uptrend clucHA nfix_39 local_uptrend2 |      3 |           3.48 |          10.44 |          1279.424 |         127.94 |        1:50:00 |     2     0     1  66.7 |
|                     local_uptrend nfi_32 nfix_5 nfix_39 |      1 |           2.49 |           2.49 |          1217.325 |         121.73 |        0:05:00 |     1     0     0   100 |
| local_uptrend clucHA nfi_32 nfix_39 vwap local_uptrend2 |      2 |           2.13 |           4.25 |          1126.497 |         112.65 |        0:08:00 |     2     0     0   100 |
|                      clucHA nfi_32 nfix_39 nfi7_37 vwap |      1 |           2.34 |           2.34 |          1064.770 |         106.48 |        1:10:00 |     1     0     0   100 |
|                                       local_uptrend ewo |      4 |           0.56 |           2.25 |           861.047 |          86.10 |        1:09:00 |     3     0     1  75.0 |
|                   local_uptrend ewo vwap local_uptrend2 |      1 |           2.88 |           2.88 |           793.779 |          79.38 |        0:45:00 |     1     0     0   100 |
|                                               local_dip |      6 |           3.15 |          18.91 |           789.983 |          79.00 |        1:15:00 |     5     0     1  83.3 |
|                     local_uptrend nfi_32 local_uptrend2 |      1 |           3.11 |           3.11 |           745.748 |          74.57 |        2:15:00 |     1     0     0   100 |
|                       local_uptrend nfi_32 nfi7_33 vwap |      1 |           2.12 |           2.12 |           743.392 |          74.34 |        0:55:00 |     1     0     0   100 |
|                                          nfi_32 nfix_39 |      3 |           2.85 |           8.56 |           656.816 |          65.68 |        1:05:00 |     3     0     0   100 |
|           local_uptrend local_dip clucHA local_uptrend2 |      1 |           2.76 |           2.76 |           594.732 |          59.47 |        0:15:00 |     1     0     0   100 |
|                                             nfi_32 vwap |     29 |           1.94 |          56.21 |           421.359 |          42.14 |        1:26:00 |    24     0     5  82.8 |
|                                                 nfix_49 |      1 |           1.89 |           1.89 |           349.681 |          34.97 |        0:05:00 |     1     0     0   100 |
|                                          nfi_32 nfix_49 |      1 |           1.87 |           1.87 |           347.943 |          34.79 |        1:10:00 |     1     0     0   100 |
|                                     nfi_33 nfi7_33 vwap |      1 |           2.99 |           2.99 |           316.454 |          31.65 |        1:00:00 |     1     0     0   100 |
|                                                ewo vwap |      1 |           2.74 |           2.74 |           271.710 |          27.17 |        0:05:00 |     1     0     0   100 |
|                               local_uptrend nfi_32 vwap |      3 |           4.73 |          14.20 |           226.162 |          22.62 |        0:20:00 |     3     0     0   100 |
|     local_uptrend local_dip nfix_39 vwap local_uptrend2 |      1 |           3.97 |           3.97 |           223.966 |          22.40 |        0:05:00 |     1     0     0   100 |
|                                   clucHA nfix_5 nfix_39 |      1 |           3.85 |           3.85 |           214.864 |          21.49 |        1:00:00 |     1     0     0   100 |
|                                   clucHA nfi_32 nfix_39 |      1 |           2.76 |           2.76 |           200.833 |          20.08 |        0:10:00 |     1     0     0   100 |
|                              clucHA nfi_32 nfix_39 vwap |      4 |           0.99 |           3.95 |           195.628 |          19.56 |        1:06:00 |     3     0     1  75.0 |
|                                        local_dip clucHA |      1 |           7.48 |           7.48 |           176.259 |          17.63 |        0:35:00 |     1     0     0   100 |
|                             local_uptrend clucHA nfi_32 |      1 |           2.68 |           2.68 |            94.292 |           9.43 |        0:25:00 |     1     0     0   100 |
|                                        cofi nfi_32 vwap |      1 |           2.49 |           2.49 |            75.128 |           7.51 |        1:40:00 |     1     0     0   100 |
|     local_uptrend clucHA nfix_39 nfix_49 local_uptrend2 |      1 |           1.85 |           1.85 |            57.296 |           5.73 |        1:40:00 |     1     0     0   100 |
|                                         ewo clucHA vwap |      1 |           2.14 |           2.14 |            40.778 |           4.08 |        1:35:00 |     1     0     0   100 |
|                              local_uptrend nfi7_37 vwap |      1 |          10.55 |          10.55 |            40.635 |           4.06 |        0:15:00 |     1     0     0   100 |
|                                          nfi_32 nfi7_37 |      1 |           3.58 |           3.58 |            35.356 |           3.54 |        0:15:00 |     1     0     0   100 |
|                                    local_uptrend nfi_32 |      1 |           6.31 |           6.31 |            34.321 |           3.43 |        0:10:00 |     1     0     0   100 |
|                                   local_uptrend nfix_39 |      1 |           2.18 |           2.18 |            30.896 |           3.09 |        0:30:00 |     1     0     0   100 |
|                       local_uptrend nfi_32 nfix_39 vwap |      1 |           1.98 |           1.98 |            23.163 |           2.32 |        0:10:00 |     1     0     0   100 |
|                                          nfix_5 nfix_39 |      1 |           1.88 |           1.88 |            19.427 |           1.94 |        0:10:00 |     1     0     0   100 |
|                                local_dip nfi_32 nfix_39 |      1 |          -0.08 |          -0.08 |            -4.339 |          -0.43 |        4:05:00 |     0     0     1     0 |
|                       local_uptrend nfix_5 nfix_39 vwap |      1 |         -13.28 |         -13.28 |          -163.766 |         -16.38 |        6:05:00 |     0     0     1     0 |
|                     local_uptrend local_dip nfi_32 vwap |      1 |          -6.51 |          -6.51 |          -212.068 |         -21.21 |       11:00:00 |     0     0     1     0 |
|                 local_uptrend ewo clucHA local_uptrend2 |      4 |          -5.04 |         -20.14 |          -375.914 |         -37.59 |        1:05:00 |     2     0     2  50.0 |
|                       local_uptrend clucHA nfix_39 vwap |      3 |          -4.31 |         -12.93 |          -874.402 |         -87.44 |        3:43:00 |     1     0     2  33.3 |
|                                  nfi_33 nfix_39 nfi7_33 |      1 |          -4.06 |          -4.06 |         -1666.308 |        -166.63 |        2:10:00 |     0     0     1     0 |
|                                     nfi_32 nfix_39 vwap |      3 |          -4.03 |         -12.09 |         -3585.444 |        -358.54 |        0:17:00 |     2     0     1  66.7 |
|                                         nfix_39 nfi7_37 |      5 |          -0.23 |          -1.15 |         -5548.362 |        -554.84 |        1:17:00 |     3     0     2  60.0 |
|                      clucHA nfix_5 nfix_39 nfi7_37 vwap |      1 |          -6.20 |          -6.20 |         -5664.624 |        -566.46 |        4:00:00 |     0     0     1     0 |
|                       local_uptrend vwap local_uptrend2 |      7 |          -3.59 |         -25.11 |        -14913.239 |       -1491.32 |        2:06:00 |     3     0     4  42.9 |
|        local_uptrend clucHA nfix_39 vwap local_uptrend2 |      1 |          -8.19 |          -8.19 |        -19427.963 |       -1942.80 |       10:30:00 |     0     0     1     0 |
|                                                  nfi_32 |     67 |           0.33 |          22.23 |        -26039.977 |       -2604.00 |        1:27:00 |    49     0    18  73.1 |
|                              local_uptrend nfix_39 vwap |      1 |         -11.43 |         -11.43 |        -28220.732 |       -2822.07 |        6:25:00 |     0     0     1     0 |
|                local_uptrend clucHA nfi_32 nfix_39 vwap |      4 |          -1.11 |          -4.45 |        -34100.258 |       -3410.03 |        0:48:00 |     3     0     1  75.0 |
|                        local_uptrend ewo local_uptrend2 |      2 |          -5.10 |         -10.20 |        -40787.204 |       -4078.72 |        0:12:00 |     1     0     1  50.0 |
|                                                   TOTAL |   1631 |           1.33 |        2170.70 |       1032774.429 |      103277.44 |        1:33:00 |  1263     0   368  77.4 |
======================================================= SELL REASON STATS ========================================================
|        Sell Reason |   Sells |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|--------------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
| trailing_stop_loss |    1267 |   1230     0    37  97.1 |           2.73 |        3464.25 |       1.86252e+06 |        1154.75 |
|   sell_drop_bb_mid |     364 |     33     0   331   9.1 |          -3.55 |       -1293.54 | -829746           |        -431.18 |
====================================================== LEFT OPEN TRADES REPORT ======================================================
|   Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|--------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|  TOTAL |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
=============== SUMMARY METRICS ================
| Metric                 | Value               |
|------------------------+---------------------|
| Backtesting from       | 2021-11-14 10:00:00 |
| Backtesting to         | 2022-02-28 02:35:00 |
| Max open trades        | 3                   |
|                        |                     |
| Total/Daily Avg Trades | 1631 / 15.53        |
| Starting balance       | 1000 USDT           |
| Final balance          | 1033774.429 USDT    |
| Absolute profit        | 1032774.429 USDT    |
| Total profit %         | 103277.44%          |
| Trades per day         | 15.53               |
| Avg. daily profit %    | 983.59%             |
| Avg. stake amount      | 60227.359 USDT      |
| Total trade volume     | 98230822.698 USDT   |
|                        |                     |
| Best Pair              | BLIN/USDT 170.48%   |
| Worst Pair             | SIS/USDT -20.28%    |
| Best trade             | CHAMP/USDT 49.37%   |
| Worst trade            | ATP/USDT -18.00%    |
| Best day               | 81166.256 USDT      |
| Worst day              | -50527.816 USDT     |
| Days win/draw/lose     | 89 / 0 / 18         |
| Avg. Duration Winners  | 0:59:00             |
| Avg. Duration Loser    | 3:29:00             |
| Rejected Buy signals   | 354065              |
| Entry/Exit Timeouts    | 0 / 0               |
|                        |                     |
| Min balance            | 1007.787 USDT       |
| Max balance            | 1093949.707 USDT    |
| Drawdown (Account)     | 7.47%               |
| Drawdown               | 76572.999 USDT      |
| Drawdown high          | 1023521.804 USDT    |
| Drawdown low           | 946948.804 USDT     |
| Drawdown Start         | 2022-02-24 03:30:00 |
| Drawdown End           | 2022-02-24 09:40:00 |
| Market change          | -34.45%             |
================================================


Result for strategy BBMod
============================================================ BACKTESTING REPORT ============================================================
