Result for strategy E0V1E320
=============================================================== BACKTESTING REPORT ===============================================================
|            Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|       ORCA/USDT |         3 |           1.60 |           4.80 |          2338.558 |         233.86 |         0:27:00 |     2     0     1  66.7 |
|        WIF/USDT |        10 |           1.82 |          18.23 |          2172.257 |         217.23 |         0:58:00 |     7     0     3  70.0 |
|        SXP/USDT |         5 |          -0.32 |          -1.60 |          2065.084 |         206.51 |         1:02:00 |     2     0     3  40.0 |
|      LEVER/USDT |         3 |           0.59 |           1.76 |          1980.216 |         198.02 |         2:48:00 |     2     0     1  66.7 |
|        OGN/USDT |         2 |           2.00 |           4.00 |          1953.148 |         195.31 |         0:45:00 |     2     0     0   100 |
|        TRB/USDT |         4 |           0.45 |           1.79 |          1940.500 |         194.05 |         1:45:00 |     3     0     1  75.0 |
|       ARPA/USDT |         6 |          -1.84 |         -11.06 |          1847.796 |         184.78 |         5:57:00 |     3     0     3  50.0 |
|       WING/USDT |         8 |           1.99 |          15.93 |          1837.777 |         183.78 |         1:01:00 |     5     0     3  62.5 |
|        RAY/USDT |         8 |           1.15 |           9.18 |          1834.333 |         183.43 |         1:02:00 |     6     0     2  75.0 |
|    1000CAT/USDT |         1 |           1.51 |           1.51 |          1804.252 |         180.43 |         0:20:00 |     1     0     0   100 |
|       MANA/USDT |         1 |           5.77 |           5.77 |          1787.954 |         178.80 |         1:45:00 |     1     0     0   100 |
|      TFUEL/USDT |         5 |           1.45 |           7.25 |          1747.096 |         174.71 |         0:46:00 |     5     0     0   100 |
|        ACX/USDT |         5 |           0.66 |           3.31 |          1712.157 |         171.22 |         1:07:00 |     3     0     2  60.0 |
|        ZEN/USDT |         3 |           3.07 |           9.21 |          1696.436 |         169.64 |         0:45:00 |     3     0     0   100 |
|        FIS/USDT |         9 |           2.27 |          20.40 |          1695.049 |         169.50 |         0:47:00 |     7     0     2  77.8 |
|        GMT/USDT |         2 |           1.31 |           2.63 |          1671.308 |         167.13 |         0:58:00 |     1     0     1  50.0 |
