Result for strategy E0V1E
=============================================================== BACKTESTING REPORT ===============================================================
|          Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |      Avg Duration |   Win  Draw  Loss  Win% |
|      GTC/USDT |         1 |           0.63 |           0.63 |           621.573 |          62.16 |           0:40:00 |     1     0     0   100 |
|      SKL/USDT |         4 |           0.16 |           0.66 |           616.287 |          61.63 |           0:50:00 |     3     0     1  75.0 |
|      SLP/USDT |         4 |           2.07 |           8.29 |           614.999 |          61.50 |           0:56:00 |     3     0     1  75.0 |
|     LUNC/USDT |         1 |           4.01 |           4.01 |           604.228 |          60.42 |           0:35:00 |     1     0     0   100 |
|    SUPER/USDT |         7 |           1.46 |          10.19 |           603.744 |          60.37 |           1:35:00 |     5     0     2  71.4 |
|      GNS/USDT |         2 |           2.85 |           5.70 |           594.998 |          59.50 |           3:00:00 |     1     0     1  50.0 |
|     IOTX/USDT |         1 |           2.10 |           2.10 |           500.174 |          50.02 |           0:20:00 |     1     0     0   100 |
|      OGN/USDT |         3 |           3.53 |          10.60 |           498.776 |          49.88 |           0:13:00 |     3     0     0   100 |
|      TLM/USDT |         3 |           0.71 |           2.12 |           497.581 |          49.76 |           1:27:00 |     2     0     1  66.7 |
|     CITY/USDT |         2 |           0.19 |           0.38 |           496.582 |          49.66 |           2:58:00 |     1     0     1  50.0 |
|      ATM/USDT |         7 |           2.64 |          18.50 |           462.238 |          46.22 |           1:24:00 |     6     0     1  85.7 |
|      WAN/USDT |         2 |           3.95 |           7.89 |           455.689 |          45.57 |           1:22:00 |     2     0     0   100 |
|     LUNA/USDT |         4 |           0.34 |           1.34 |           451.198 |          45.12 |           2:15:00 |     2     0     2  50.0 |
|       ID/USDT |         2 |           1.27 |           2.55 |           400.524 |          40.05 |           0:30:00 |     2     0     0   100 |
|      KMD/USDT |         4 |           4.13 |          16.53 |           399.172 |          39.92 |           0:16:00 |     4     0     0   100 |
|     BICO/USDT |         1 |           2.15 |           2.15 |           392.979 |          39.30 |           0:25:00 |     1     0     0   100 |
|      FLM/USDT |         1 |           6.36 |           6.36 |           388.504 |          38.85 |           0:10:00 |     1     0     0   100 |
|     DOCK/USDT |         3 |           1.55 |           4.64 |           384.900 |          38.49 |           1:10:00 |     3     0     0   100 |
|     HARD/USDT |         3 |           0.45 |           1.34 |           384.703 |          38.47 |           3:12:00 |     2     0     1  66.7 |
|    JASMY/USDT |         2 |           2.34 |           4.68 |           381.107 |          38.11 |           0:20:00 |     2     0     0   100 |
|    STRAX/USDT |         2 |           0.65 |           1.31 |           317.906 |          31.79 |           0:38:00 |     2     0     0   100 |
|      TIA/USDT |         1 |           1.92 |           1.92 |           308.938 |          30.89 |           0:30:00 |     1     0     0   100 |
|    CYBER/USDT |         2 |           1.52 |           3.04 |           305.807 |          30.58 |           0:40:00 |     2     0     0   100 |
|    VOXEL/USDT |         4 |           0.43 |           1.70 |           297.580 |          29.76 |           1:08:00 |     3     0     1  75.0 |
|     ARDR/USDT |         2 |           1.43 |           2.86 |           285.672 |          28.57 |           0:48:00 |     2     0     0   100 |
|      STX/USDT |         6 |           2.76 |          16.58 |           280.628 |          28.06 |           0:28:00 |     6     0     0   100 |
|     IOTA/USDT |         1 |           1.23 |           1.23 |           279.635 |          27.96 |           2:00:00 |     1     0     0   100 |
|      VIB/USDT |         1 |           2.44 |           2.44 |           269.764 |          26.98 |           0:25:00 |     1     0     0   100 |
|      ELF/USDT |         2 |           0.41 |           0.81 |           264.221 |          26.42 |           1:38:00 |     1     0     1  50.0 |
|     LQTY/USDT |         5 |           1.12 |           5.61 |           247.817 |          24.78 |           0:46:00 |     5     0     0   100 |
|    QUICK/USDT |         6 |           2.01 |          12.03 |           238.942 |          23.89 |           0:53:00 |     6     0     0   100 |
|      JOE/USDT |         5 |           2.60 |          12.98 |           237.728 |          23.77 |           0:33:00 |     5     0     0   100 |
|      EPX/USDT |         7 |           1.73 |          12.13 |           234.283 |          23.43 |           1:18:00 |     6     0     1  85.7 |
|     CTSI/USDT |         4 |           1.16 |           4.63 |           226.650 |          22.67 |           1:01:00 |     4     0     0   100 |
|   PUNDIX/USDT |         1 |           1.68 |           1.68 |           205.514 |          20.55 |           0:55:00 |     1     0     0   100 |
|      BEL/USDT |         4 |           2.25 |           8.98 |           204.985 |          20.50 |           0:51:00 |     3     0     1  75.0 |
|     IDEX/USDT |         2 |           1.96 |           3.91 |           197.015 |          19.70 |           0:20:00 |     2     0     0   100 |
|      MAV/USDT |         1 |           0.80 |           0.80 |           190.449 |          19.04 |           0:35:00 |     1     0     0   100 |
|      MDT/USDT |         5 |           2.29 |          11.43 |           190.053 |          19.01 |           0:22:00 |     5     0     0   100 |
|      SUN/USDT |         2 |           0.42 |           0.83 |           185.450 |          18.55 |           0:48:00 |     2     0     0   100 |
|      CVP/USDT |         4 |           1.24 |           4.96 |           185.023 |          18.50 |           0:54:00 |     4     0     0   100 |
|     IRIS/USDT |         4 |           1.85 |           7.39 |           169.925 |          16.99 |           0:54:00 |     3     0     1  75.0 |
|     GLMR/USDT |         1 |           2.17 |           2.17 |           164.610 |          16.46 |           0:55:00 |     1     0     0   100 |
|     STPT/USDT |         4 |           0.37 |           1.48 |           163.970 |          16.40 |           2:10:00 |     3     0     1  75.0 |
|    STEEM/USDT |         3 |           2.54 |           7.62 |           160.772 |          16.08 |           1:07:00 |     3     0     0   100 |
|     DODO/USDT |         4 |           2.37 |           9.49 |           156.211 |          15.62 |           0:52:00 |     4     0     0   100 |
|      LPT/USDT |         4 |           0.35 |           1.41 |           152.582 |          15.26 |           2:09:00 |     2     0     2  50.0 |
|     POWR/USDT |         3 |           1.43 |           4.28 |           152.018 |          15.20 |           0:28:00 |     3     0     0   100 |
|      PSG/USDT |         2 |           1.91 |           3.83 |           151.050 |          15.11 |           0:18:00 |     2     0     0   100 |
|   ALPINE/USDT |         5 |           0.50 |           2.49 |           144.121 |          14.41 |           1:50:00 |     4     0     1  80.0 |
|      ACH/USDT |         7 |           1.08 |           7.58 |           130.526 |          13.05 |           0:49:00 |     7     0     0   100 |
|      ILV/USDT |         1 |           1.04 |           1.04 |           129.357 |          12.94 |           0:25:00 |     1     0     0   100 |
|      UTK/USDT |         2 |           3.67 |           7.34 |           127.632 |          12.76 |           0:50:00 |     2     0     0   100 |
|     HIGH/USDT |         4 |           1.31 |           5.22 |           123.928 |          12.39 |           0:51:00 |     4     0     0   100 |
|      PHA/USDT |         5 |           1.48 |           7.41 |           123.476 |          12.35 |           1:40:00 |     4     0     1  80.0 |
|      CFX/USDT |         5 |           1.35 |           6.75 |           122.832 |          12.28 |           1:02:00 |     4     0     1  80.0 |
|      BLZ/USDT |         1 |           2.43 |           2.43 |           121.179 |          12.12 |           0:45:00 |     1     0     0   100 |
|      SNT/USDT |         2 |          -0.55 |          -1.10 |           118.185 |          11.82 |    1 day, 9:18:00 |     1     0     1  50.0 |
|      GNO/USDT |         1 |           0.91 |           0.91 |           112.283 |          11.23 |           0:30:00 |     1     0     0   100 |
|      ZEN/USDT |         2 |           2.24 |           4.49 |           109.155 |          10.92 |           0:25:00 |     2     0     0   100 |
|      TRU/USDT |         9 |           0.58 |           5.18 |           108.636 |          10.86 |           1:19:00 |     6     0     3  66.7 |
|      HFT/USDT |         3 |           3.47 |          10.41 |            98.356 |           9.84 |           0:13:00 |     3     0     0   100 |
|      ACM/USDT |         2 |           1.14 |           2.29 |            98.096 |           9.81 |           1:48:00 |     1     0     1  50.0 |
|     RNDR/USDT |         7 |           1.70 |          11.88 |            89.440 |           8.94 |           0:51:00 |     6     0     1  85.7 |
|      TWT/USDT |         3 |           4.74 |          14.23 |            84.332 |           8.43 |           0:30:00 |     3     0     0   100 |
|     FIRO/USDT |         3 |           0.89 |           2.66 |            81.692 |           8.17 |           1:08:00 |     2     0     1  66.7 |
|      TKO/USDT |         3 |           2.74 |           8.22 |            72.661 |           7.27 |           0:47:00 |     3     0     0   100 |
|     HOOK/USDT |         3 |           2.18 |           6.55 |            65.643 |           6.56 |           0:43:00 |     3     0     0   100 |
|    LEVER/USDT |         5 |           0.16 |           0.80 |            63.739 |           6.37 |           1:35:00 |     3     0     2  60.0 |
|     AGLD/USDT |         1 |           3.71 |           3.71 |            62.521 |           6.25 |           1:55:00 |     1     0     0   100 |
|      XEC/USDT |         1 |           0.82 |           0.82 |            61.985 |           6.20 |           1:35:00 |     1     0     0   100 |
|    LAZIO/USDT |         1 |           2.23 |           2.23 |            59.215 |           5.92 |           0:20:00 |     1     0     0   100 |
|     COMP/USDT |         1 |           2.24 |           2.24 |            59.186 |           5.92 |           0:25:00 |     1     0     0   100 |
|     FIDA/USDT |         6 |           2.70 |          16.19 |            57.522 |           5.75 |           0:55:00 |     5     0     1  83.3 |
|     CAKE/USDT |         1 |           0.15 |           0.15 |            55.693 |           5.57 |           0:30:00 |     1     0     0   100 |
|    FLOKI/USDT |         1 |           0.52 |           0.52 |            55.288 |           5.53 |           0:35:00 |     1     0     0   100 |
|      COS/USDT |         5 |           0.94 |           4.70 |            53.172 |           5.32 |           1:00:00 |     4     0     1  80.0 |
|     KAVA/USDT |         1 |           1.73 |           1.73 |            49.938 |           4.99 |           0:25:00 |     1     0     0   100 |
|     AKRO/USDT |         6 |           0.78 |           4.70 |            47.461 |           4.75 |           1:50:00 |     4     0     2  66.7 |
|    MAGIC/USDT |         2 |           1.09 |           2.18 |            46.993 |           4.70 |           1:35:00 |     2     0     0   100 |
|      INJ/USDT |         1 |           4.13 |           4.13 |            46.594 |           4.66 |           0:30:00 |     1     0     0   100 |
|     GHST/USDT |         1 |           1.73 |           1.73 |            43.802 |           4.38 |           0:10:00 |     1     0     0   100 |
|      ARK/USDT |         1 |           0.39 |           0.39 |            41.295 |           4.13 |           0:30:00 |     1     0     0   100 |
|      FET/USDT |         2 |           2.50 |           5.00 |            39.809 |           3.98 |           1:18:00 |     1     0     1  50.0 |
|     QTUM/USDT |         1 |           1.32 |           1.32 |            39.202 |           3.92 |           0:10:00 |     1     0     0   100 |
|      ONG/USDT |         2 |           2.10 |           4.19 |            38.173 |           3.82 |           2:02:00 |     1     0     1  50.0 |
|     WNXM/USDT |         2 |           1.42 |           2.84 |            36.226 |           3.62 |           1:10:00 |     2     0     0   100 |
|     LOKA/USDT |         3 |           1.21 |           3.62 |            32.969 |           3.30 |           1:28:00 |     2     0     1  66.7 |
|      KNC/USDT |         2 |           0.07 |           0.14 |            32.301 |           3.23 |           1:52:00 |     1     0     1  50.0 |
|      OXT/USDT |         3 |          -0.18 |          -0.55 |            32.032 |           3.20 |           1:38:00 |     2     0     1  66.7 |
|      XEM/USDT |         2 |           1.15 |           2.31 |            29.471 |           2.95 |           0:28:00 |     2     0     0   100 |
|      SXP/USDT |         3 |           0.74 |           2.22 |            28.670 |           2.87 |           0:25:00 |     3     0     0   100 |
|     NULS/USDT |         1 |           3.64 |           3.64 |            28.464 |           2.85 |           0:25:00 |     1     0     0   100 |
|      LRC/USDT |         2 |           1.85 |           3.69 |            27.757 |           2.78 |           0:28:00 |     2     0     0   100 |
|     PEPE/USDT |         1 |           0.93 |           0.93 |            26.497 |           2.65 |           1:25:00 |     1     0     0   100 |
|    STORJ/USDT |         1 |           0.80 |           0.80 |            23.558 |           2.36 |           0:50:00 |     1     0     0   100 |
|      RPL/USDT |         1 |           1.40 |           1.40 |            22.732 |           2.27 |           0:25:00 |     1     0     0   100 |
|     MASK/USDT |         5 |           0.86 |           4.28 |            22.329 |           2.23 |           1:25:00 |     4     0     1  80.0 |
