Result for strategy E0V1E
=============================================================== BACKTESTING REPORT ==============================================================
|          Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|      SNX/USDT |         1 |           0.53 |           0.53 |             3.192 |           0.32 |         19:55:00 |     1     0     0   100 |
|     DODO/USDT |         1 |           0.14 |           0.14 |             1.125 |           0.11 |          0:25:00 |     1     0     0   100 |
|     LINA/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |     0     0     0     0 |
|     PEPE/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |     0     0     0     0 |
|      ACE/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |     0     0     0     0 |
|     WING/USDT |         2 |          -0.20 |          -0.40 |            -2.458 |          -0.25 |          2:15:00 |     0     0     2     0 |
|     AKRO/USDT |         3 |           0.07 |           0.20 |            -3.304 |          -0.33 |          1:48:00 |     2     0     1  66.7 |
|    FRONT/USDT |         4 |           0.10 |           0.40 |            -3.667 |          -0.37 |   1 day, 2:25:00 |     3     0     1  75.0 |
|      SYS/USDT |         1 |          -0.34 |          -0.34 |           -10.148 |          -1.01 |          2:40:00 |     0     0     1     0 |
|      NEO/USDT |         1 |          -0.55 |          -0.55 |           -12.528 |          -1.25 |          2:25:00 |     0     0     1     0 |
|     FIDA/USDT |         1 |          -0.35 |          -0.35 |           -15.414 |          -1.54 |          1:45:00 |     0     0     1     0 |
|     BIFI/USDT |         3 |           0.66 |           1.98 |           -17.634 |          -1.76 |          2:43:00 |     2     0     1  66.7 |
|     LOOM/USDT |         6 |           0.15 |           0.91 |           -23.441 |          -2.34 |          2:23:00 |     4     0     2  66.7 |
|      ATA/USDT |         1 |          -0.67 |          -0.67 |           -30.409 |          -3.04 |          2:05:00 |     0     0     1     0 |
