Result for strategy E0V1E
=============================================================== BACKTESTING REPORT ===============================================================
|            Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|       API3/USDT |         1 |           4.96 |           4.96 |            36.456 |           3.65 |         0:05:00 |     1     0     0   100 |
|       DEXE/USDT |         1 |           2.39 |           2.39 |            34.009 |           3.40 |         0:55:00 |     1     0     0   100 |
|        RLC/USDT |         2 |           1.54 |           3.08 |            33.948 |           3.39 |         0:22:00 |     2     0     0   100 |
|      SUSHI/USDT |         2 |           1.19 |           2.38 |            33.653 |           3.37 |         9:05:00 |     2     0     0   100 |
|       AEVO/USDT |         2 |           0.40 |           0.79 |            33.355 |           3.34 |         1:20:00 |     2     0     0   100 |
|       SHIB/USDT |         2 |           1.02 |           2.03 |            33.298 |           3.33 |         1:50:00 |     1     0     1  50.0 |
|        RVN/USDT |         1 |           0.10 |           0.10 |            30.699 |           3.07 |         0:50:00 |     1     0     0   100 |
|       WAXP/USDT |         1 |           0.69 |           0.69 |            30.042 |           3.00 |         0:05:00 |     1     0     0   100 |
|       OSMO/USDT |         2 |           3.28 |           6.56 |            27.524 |           2.75 |         0:25:00 |     2     0     0   100 |
|        GMT/USDT |         2 |           2.57 |           5.13 |            27.282 |           2.73 |         0:25:00 |     2     0     0   100 |
|      STEEM/USDT |         1 |           0.59 |           0.59 |            27.069 |           2.71 |         0:40:00 |     1     0     0   100 |
|        STG/USDT |         1 |           0.26 |           0.26 |            18.984 |           1.90 |         1:50:00 |     1     0     0   100 |
|       MASK/USDT |         1 |           2.95 |           2.95 |            15.942 |           1.59 |         0:05:00 |     1     0     0   100 |
|       QTUM/USDT |         2 |           0.19 |           0.38 |            15.493 |           1.55 |         4:55:00 |     2     0     0   100 |
|       HIVE/USDT |         1 |           0.33 |           0.33 |            14.770 |           1.48 |         0:25:00 |     1     0     0   100 |
|        ZEN/USDT |         1 |           1.10 |           1.10 |            13.872 |           1.39 |        10:20:00 |     1     0     0   100 |
|        OXT/USDT |         2 |           0.72 |           1.45 |            11.590 |           1.16 |         4:30:00 |     2     0     0   100 |
|        SUI/USDT |         1 |           2.17 |           2.17 |            11.319 |           1.13 |         0:15:00 |     1     0     0   100 |
|        NMR/USDT |         1 |           0.46 |           0.46 |            10.021 |           1.00 |         0:30:00 |     1     0     0   100 |
|        C98/USDT |         1 |           0.71 |           0.71 |             7.358 |           0.74 |         0:55:00 |     1     0     0   100 |
|        FUN/USDT |         1 |           0.87 |           0.87 |             5.887 |           0.59 |         7:15:00 |     1     0     0   100 |
|      TURBO/USDT |         1 |           0.02 |           0.02 |             5.100 |           0.51 |         1:05:00 |     1     0     0   100 |
|        SEI/USDT |         2 |           0.55 |           1.09 |             4.807 |           0.48 |         1:35:00 |     2     0     0   100 |
|        LRC/USDT |         1 |           0.55 |           0.55 |             4.611 |           0.46 |         0:30:00 |     1     0     0   100 |
|        LDO/USDT |         1 |           0.98 |           0.98 |             4.463 |           0.45 |         0:40:00 |     1     0     0   100 |
|       VITE/USDT |         7 |           0.01 |           0.04 |             4.003 |           0.40 |         2:46:00 |     5     0     2  71.4 |
|       MEME/USDT |         1 |           0.29 |           0.29 |             3.785 |           0.38 |         1:55:00 |     1     0     0   100 |
|        ILV/USDT |         1 |           0.27 |           0.27 |             3.592 |           0.36 |         6:10:00 |     1     0     0   100 |
|       NTRN/USDT |         1 |           0.55 |           0.55 |             2.707 |           0.27 |         1:20:00 |     1     0     0   100 |
|      COMBO/USDT |         1 |           0.18 |           0.18 |             2.248 |           0.22 |         0:50:00 |     1     0     0   100 |
|        XNO/USDT |         1 |           0.23 |           0.23 |             1.971 |           0.20 |         4:15:00 |     1     0     0   100 |
|        SKL/USDT |         1 |           0.32 |           0.32 |             1.438 |           0.14 |         0:25:00 |     1     0     0   100 |
|        XEC/USDT |         1 |           0.08 |           0.08 |             1.200 |           0.12 |         0:30:00 |     1     0     0   100 |
|       AGLD/USDT |         1 |           0.07 |           0.07 |             0.676 |           0.07 |         1:55:00 |     1     0     0   100 |
|      SUPER/USDT |         1 |           0.03 |           0.03 |             0.421 |           0.04 |         3:40:00 |     1     0     0   100 |
|        FTM/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|        NKN/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|        ZIL/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|        LIT/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|        GAS/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|        REZ/USDT |         3 |          -0.01 |          -0.04 |            -8.458 |          -0.85 |         0:30:00 |     2     0     1  66.7 |
|        EDU/USDT |         6 |           0.37 |           2.24 |           -23.727 |          -2.37 |         2:27:00 |     5     0     1  83.3 |
|        WIF/USDT |         8 |           0.13 |           1.01 |           -26.248 |          -2.62 |         1:39:00 |     6     0     2  75.0 |
|       OOKI/USDT |        13 |          -0.26 |          -3.33 |           -29.272 |          -2.93 |         7:36:00 |    10     0     3  76.9 |
|       LUNC/USDT |         2 |          -0.00 |          -0.01 |           -31.530 |          -3.15 |         0:38:00 |     1     0     1  50.0 |
|        APT/USDT |         1 |          -9.00 |          -9.00 |           -41.472 |          -4.15 | 1 day, 10:20:00 |     0     0     1     0 |
|        JOE/USDT |         1 |          -9.10 |          -9.10 |           -51.707 |          -5.17 |        17:20:00 |     0     0     1     0 |
|       BAND/USDT |         2 |          -3.76 |          -7.52 |           -57.149 |          -5.71 |        11:12:00 |     1     0     1  50.0 |
|        YGG/USDT |         2 |          -3.19 |          -6.37 |           -75.733 |          -7.57 |  1 day, 0:52:00 |     1     0     1  50.0 |
|        WIN/USDT |         3 |          -1.48 |          -4.45 |           -85.009 |          -8.50 |        16:45:00 |     2     0     1  66.7 |
|        REI/USDT |        22 |          -0.36 |          -7.83 |           -91.366 |          -9.14 |         1:39:00 |    15     0     7  68.2 |
|        DCR/USDT |         1 |          -8.84 |          -8.84 |           -92.113 |          -9.21 |         5:10:00 |     0     0     1     0 |
|        QKC/USDT |         5 |          -0.51 |          -2.54 |           -99.543 |          -9.95 |         1:11:00 |     4     0     1  80.0 |
|        WLD/USDT |         7 |          -0.54 |          -3.76 |          -116.806 |         -11.68 |         1:59:00 |     5     0     2  71.4 |
|       POWR/USDT |         7 |          -3.07 |         -21.49 |          -119.717 |         -11.97 |         2:49:00 |     5     0     2  71.4 |
|      JASMY/USDT |         9 |           0.26 |           2.34 |          -123.601 |         -12.36 |         0:57:00 |     5     0     4  55.6 |
|        BNX/USDT |         3 |          -2.25 |          -6.76 |          -129.352 |         -12.94 |         6:17:00 |     2     0     1  66.7 |
|         OG/USDT |         9 |           0.34 |           3.03 |          -149.235 |         -14.92 |         1:43:00 |     8     0     1  88.9 |
|        MDT/USDT |         4 |          -0.66 |          -2.66 |          -156.515 |         -15.65 |        21:59:00 |     3     0     1  75.0 |
|        SNT/USDT |         3 |          -1.18 |          -3.54 |          -168.245 |         -16.82 |         1:48:00 |     1     0     2  33.3 |
|        PHB/USDT |         4 |          -3.04 |         -12.18 |          -176.386 |         -17.64 |         1:06:00 |     2     0     2  50.0 |
|        RIF/USDT |         7 |          -1.30 |          -9.09 |          -184.289 |         -18.43 |         6:26:00 |     5     0     2  71.4 |
|        FIS/USDT |         7 |           1.58 |          11.05 |          -228.803 |         -22.88 |         1:32:00 |     6     0     1  85.7 |
|       ORDI/USDT |         1 |          -4.60 |          -4.60 |          -262.942 |         -26.29 |         2:25:00 |     0     0     1     0 |
|        CKB/USDT |        14 |           0.21 |           2.98 |          -280.881 |         -28.09 |         6:21:00 |    12     0     2  85.7 |
|       VIDT/USDT |        10 |           1.45 |          14.52 |          -298.544 |         -29.85 |        10:29:00 |     9     0     1  90.0 |
|        ONT/USDT |         2 |          -2.64 |          -5.29 |          -301.308 |         -30.13 |         2:15:00 |     1     0     1  50.0 |
|         SC/USDT |         5 |          -6.45 |         -32.24 |          -315.114 |         -31.51 |         3:54:00 |     2     0     3  40.0 |
|       BOME/USDT |        18 |           1.00 |          18.01 |          -331.421 |         -33.14 |         1:16:00 |    14     0     4  77.8 |
|       DATA/USDT |         9 |           1.08 |           9.75 |          -370.337 |         -37.03 |         1:22:00 |     8     0     1  88.9 |
|        ONG/USDT |         2 |          -3.17 |          -6.34 |          -371.547 |         -37.15 |         5:05:00 |     1     0     1  50.0 |
|        COS/USDT |        15 |          -1.84 |         -27.56 |          -373.154 |         -37.32 |         1:43:00 |    12     0     3  80.0 |
|       CTSI/USDT |         4 |          -0.25 |          -0.99 |          -374.892 |         -37.49 |         9:55:00 |     3     0     1  75.0 |
|        DAR/USDT |         3 |          -1.29 |          -3.88 |          -418.752 |         -41.88 |         0:57:00 |     2     0     1  66.7 |
