Result for strategy BinHV27_short
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|      LRC/USDT |      9 |           4.37 |          39.35 |            32.888 |           3.29 |        4:33:00 |     6     0     3  66.7 |
|      ATA/USDT |      3 |           1.00 |           3.00 |            26.494 |           2.65 |        3:53:00 |     1     0     2  33.3 |
|      BTC/USDT |     14 |          -0.34 |          -4.83 |            14.141 |           1.41 |        6:45:00 |     6     0     8  42.9 |
|     BAND/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     DYDX/USDT |      7 |           0.60 |           4.21 |           -10.670 |          -1.07 |        2:16:00 |     4     0     3  57.1 |
|     REEF/USDT |      4 |          -0.32 |          -1.28 |           -25.044 |          -2.50 |        9:38:00 |     1     0     3  25.0 |
|      XLM/USDT |     11 |           2.25 |          24.72 |           -47.003 |          -4.70 |        4:40:00 |     5     0     6  45.5 |
|     SAND/USDT |      6 |          -0.66 |          -3.99 |           -53.861 |          -5.39 |        6:23:00 |     2     0     4  33.3 |
|      FIL/USDT |      7 |           0.49 |           3.46 |           -56.245 |          -5.62 |        3:29:00 |     5     0     2  71.4 |
|     LINA/USDT |      1 |          -2.30 |          -2.30 |           -63.228 |          -6.32 |        1:35:00 |     0     0     1     0 |
|     BAKE/USDT |      1 |          -9.40 |          -9.40 |           -66.711 |          -6.67 |        3:35:00 |     0     0     1     0 |
|     MANA/USDT |      1 |          -6.60 |          -6.60 |           -66.812 |          -6.68 |        2:20:00 |     0     0     1     0 |
|      RSR/USDT |      2 |          -5.66 |         -11.32 |           -75.907 |          -7.59 |        4:48:00 |     0     0     2     0 |
|      CHR/USDT |      6 |           0.16 |           0.97 |           -85.501 |          -8.55 |        3:01:00 |     3     0     3  50.0 |
|      BNB/USDT |      4 |          -1.66 |          -6.64 |           -86.317 |          -8.63 |        4:11:00 |     1     0     3  25.0 |
|     CELO/USDT |      3 |          -3.17 |          -9.51 |           -86.946 |          -8.69 |        4:22:00 |     1     0     2  33.3 |
|  1000XEC/USDT |      3 |          -1.57 |          -4.71 |          -104.174 |         -10.42 |        3:53:00 |     0     0     3     0 |
|      CHZ/USDT |      1 |          -4.54 |          -4.54 |          -115.037 |         -11.50 |        1:05:00 |     0     0     1     0 |
|     ATOM/USDT |      7 |           0.56 |           3.91 |          -127.290 |         -12.73 |        4:48:00 |     3     0     4  42.9 |
|      XEM/USDT |      5 |          -2.78 |         -13.92 |          -142.974 |         -14.30 |        5:03:00 |     1     0     4  20.0 |
|     IOST/USDT |      4 |          -0.91 |          -3.64 |          -151.816 |         -15.18 |        8:40:00 |     1     0     3  25.0 |
|      BEL/USDT |      2 |           0.31 |           0.62 |          -152.364 |         -15.24 |        5:18:00 |     1     0     1  50.0 |
|      SNX/USDT |      8 |           0.10 |           0.77 |          -155.902 |         -15.59 |        2:32:00 |     3     0     5  37.5 |
|     MASK/USDT |      4 |          -0.05 |          -0.21 |          -158.944 |         -15.89 |        1:56:00 |     2     0     2  50.0 |
|      SOL/USDT |     14 |           0.33 |           4.56 |          -160.073 |         -16.01 |        3:07:00 |     7     0     7  50.0 |
|      TRB/USDT |      1 |          -6.74 |          -6.74 |          -179.941 |         -17.99 |        4:05:00 |     0     0     1     0 |
