
Result for strategy BBMod
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|                   TAG |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-----------------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|                  cofi |   3083 |           0.46 |        1428.99 |         16083.282 |       26805.47 |        1:29:00 |  1983   470   630  64.3 |
|                nfi_32 |    132 |           1.94 |         255.72 |          2727.614 |        4546.02 |        0:13:00 |    95     1    36  72.0 |
|                   ewo |    181 |           1.26 |         228.63 |          1571.736 |        2619.56 |        0:28:00 |   132     5    44  72.9 |
|    ewo local_uptrend2 |      6 |           6.30 |          37.78 |           441.606 |         736.01 |        0:06:00 |     6     0     0   100 |
|                    bb |      3 |           8.00 |          24.00 |           337.251 |         562.09 |        0:02:00 |     3     0     0   100 |
|           cofi nfi_32 |      2 |           6.81 |          13.62 |           251.111 |         418.52 |        0:05:00 |     2     0     0   100 |
|          gumbo nfi_32 |      1 |           8.00 |           8.00 |           192.681 |         321.14 |        0:05:00 |     1     0     0   100 |
|        local_uptrend2 |     66 |           0.88 |          58.23 |           191.638 |         319.40 |        0:05:00 |    44     0    22  66.7 |
| bb ewo local_uptrend2 |      1 |           8.00 |           8.00 |            65.402 |         109.00 |        0:00:00 |     1     0     0   100 |
|                bb ewo |      1 |           8.00 |           8.00 |            46.434 |          77.39 |        0:00:00 |     1     0     0   100 |
| nfi_32 local_uptrend2 |     19 |           0.73 |          13.92 |          -149.502 |        -249.17 |        0:04:00 |    12     0     7  63.2 |
|     bb local_uptrend2 |      9 |           1.50 |          13.46 |          -357.555 |        -595.93 |        0:01:00 |     6     0     3  66.7 |
|                 TOTAL |   3504 |           0.60 |        2098.35 |         21401.699 |       35669.50 |        1:20:00 |  2286   476   742  65.2 |
======================================================= EXIT REASON STATS ========================================================
|        Exit Reason |   Exits |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|--------------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
